,번호,신고일,구정보,주소,유형,조치일,lat,lon
0,37251,2022-03-22,마포구,서울특별시 마포구 신수동 445-34,보도와 차도가 구분된 도로의 차도,2022-03-22,37.5428415196027,126.937326664687
1,37259,2022-03-22,마포구,서울특별시 마포구 합정동 402,"버스정류장, 택시 승강장",2022-03-22,37.5498466462438,126.914178132067
2,37260,2022-03-22,마포구,서울특별시 마포구 아현동 790,"횡단보도, 산책로 등",2022-03-22,37.5530988438964,126.953950980268
3,37275,2022-03-22,마포구,서울특별시 마포구 서교동 459-15,"횡단보도, 산책로 등",2022-03-22,37.5550789331472,126.915822191059
4,37277,2022-03-22,마포구,서울특별시 마포구 서교동 358-27,"횡단보도, 산책로 등",2022-03-22,37.5528417089432,126.923987841838
5,37280,2022-03-22,마포구,서울특별시 마포구 서교동 358-27,"횡단보도, 산책로 등",2022-03-22,37.5528417089432,126.923987841838
6,37281,2022-03-22,마포구,서울특별시 마포구 동교동 155-6,"버스정류장, 택시 승강장",2022-03-22,37.5578664425226,126.92533859831
7,37287,2022-03-22,마포구,서울특별시 마포구 동교동 156-6,"점자블록, 엘리베이터 입구",2022-03-22,37.5574699690155,126.92415313165
8,37289,2022-03-22,마포구,서울특별시 마포구 서교동 350-1,"횡단보도, 산책로 등",2022-03-22,37.5548647336913,126.925996522062
9,37292,2022-03-22,마포구,서울특별시 마포구 서교동 349,"점자블록, 엘리베이터 입구",2022-03-22,37.5541032354791,126.929271434027
10,37293,2022-03-22,마포구,서울특별시 마포구 동교동 190-1,보도와 차도가 구분된 도로의 차도,2022-03-22,37.5594113610099,126.924879359583
11,37296,2022-03-22,마포구,서울특별시 마포구 동교동 192-44,보도와 차도가 구분된 도로의 차도,2022-03-22,37.5579577201773,126.924358166933
12,37297,2022-03-22,마포구,서울특별시 마포구 서교동 349,"횡단보도, 산책로 등",2022-03-22,37.5541032354791,126.929271434027
13,37299,2022-03-22,마포구,서울특별시 마포구 동교동 191-2,"점자블록, 엘리베이터 입구",2022-03-22,37.5583456423967,126.925846288129
14,37301,2022-03-22,마포구,서울특별시 마포구 망원동 377-19,"점자블록, 엘리베이터 입구",2022-03-22,37.5560602000434,126.909711941173
15,37305,2022-03-22,마포구,서울특별시 마포구 합정동 197-9,보도 중앙,2022-03-22,37.5453530079322,126.912462489113
16,37306,2022-03-22,마포구,서울특별시 마포구 합정동 198-37,보도 중앙,2022-03-22,37.545374202245,126.912369108903
17,37311,2022-03-22,마포구,서울특별시 마포구 합정동 402,보도 중앙,2022-03-22,37.5498466462438,126.914178132067
18,37313,2022-03-22,마포구,서울특별시 마포구 신수동 448-40,보도와 차도가 구분된 도로의 차도,2022-03-22,37.5445271169822,126.935665921851
19,37320,2022-03-22,마포구,서울특별시 마포구 도화동 555,보도와 차도가 구분된 도로의 차도,2022-03-22,37.5400400282508,126.945470495343
20,37321,2022-03-22,마포구,서울특별시 마포구 도화동 168-9,"횡단보도, 산책로 등",2022-03-22,37.5396677598788,126.946509705079
21,37324,2022-03-22,마포구,서울특별시 마포구 서교동 350-1,보도 중앙,2022-03-22,37.5548647336913,126.925996522062
22,37329,2022-03-22,마포구,서울특별시 마포구 서교동 350-3,보도 중앙,2022-03-22,37.5555449729277,126.927866833404
23,37331,2022-03-22,마포구,서울특별시 마포구 도화동 168-7,보도와 차도가 구분된 도로의 차도,2022-03-22,37.5398671185413,126.946636743032
24,37332,2022-03-22,마포구,서울특별시 마포구 서교동 343-5,보도 중앙,2022-03-22,37.5534813335839,126.925410535832
25,37335,2022-03-22,마포구,서울특별시 마포구 아현동 795,"횡단보도, 산책로 등",2022-03-22,37.5516484948182,126.954382928021
26,37336,2022-03-22,마포구,서울특별시 마포구 서교동 463-28,보도 중앙,2022-03-22,37.5551778496681,126.918109870383
27,37338,2022-03-22,마포구,서울특별시 마포구 서교동 463-28,보도 중앙,2022-03-22,37.5551778496681,126.918109870383
28,37341,2022-03-22,마포구,서울특별시 마포구 서교동 383-6,보도 중앙,2022-03-22,37.5523219861581,126.912741108071
29,37343,2022-03-22,마포구,서울특별시 마포구 도화동 181-51,"횡단보도, 산책로 등",2022-03-22,37.5415641791998,126.949781055953
30,37348,2022-03-22,마포구,서울특별시 마포구 도화동 566,"횡단보도, 산책로 등",2022-03-22,37.5419347738643,126.949812829662
31,37351,2022-03-22,마포구,서울특별시 마포구 서교동 445-7,보도 중앙,2022-03-22,37.5568124965421,126.919503760544
32,37356,2022-03-22,마포구,서울특별시 마포구 성산동 231-21,보도 중앙,2022-03-22,37.5600793956137,126.916483084707
33,37357,2022-03-22,마포구,서울특별시 마포구 성산동 231-21,보도 중앙,2022-03-22,37.5600793956137,126.916483084707
34,37359,2022-03-22,마포구,서울특별시 마포구 상암동 2-102,보도 중앙,2022-03-22,37.5769909635648,126.896438299807
35,37364,2022-03-22,마포구,서울특별시 마포구 합정동 402,"버스정류장, 택시 승강장",2022-03-22,37.5498466462438,126.914178132067
36,37371,2022-03-22,마포구,서울특별시 마포구 서교동 449-44,"횡단보도, 산책로 등",2022-03-22,37.5568667702716,126.917335712747
37,37372,2022-03-22,마포구,서울특별시 마포구 성산동 370,보도 중앙,2022-03-22,37.566242380606,126.901942313723
38,37387,2022-03-22,마포구,서울특별시 마포구 성산동 370,보도 중앙,2022-03-22,37.566242380606,126.901942313723
39,37391,2022-03-22,마포구,서울특별시 마포구 망원동 386-16,"버스정류장, 택시 승강장",2022-03-22,37.5545706189416,126.911067728082
40,37400,2022-03-22,마포구,서울특별시 마포구 서교동 490,보도 중앙,2022-03-22,37.5507467154903,126.913768796333
41,37409,2022-03-22,마포구,서울특별시 마포구 합정동 410-34,보도 중앙,2022-03-22,37.5480181126932,126.918694490797
42,37415,2022-03-22,마포구,서울특별시 마포구 합정동 196-3,보도 중앙,2022-03-22,37.545386436179,126.911979264882
43,37426,2022-03-22,마포구,서울특별시 마포구 합정동 373-39,보도와 차도가 구분된 도로의 차도,2022-03-22,37.5487392714278,126.913618225496
44,37427,2022-03-22,마포구,서울특별시 마포구 합정동 373-39,보도와 차도가 구분된 도로의 차도,2022-03-22,37.5487392714278,126.913618225496
45,37432,2022-03-22,마포구,서울특별시 마포구 합정동 373-39,보도와 차도가 구분된 도로의 차도,2022-03-22,37.5487392714278,126.913618225496
46,37435,2022-03-22,마포구,서울특별시 마포구 상수동 351-6,보도 중앙,2022-03-22,37.5449798730992,126.923578726409
47,37441,2022-03-22,마포구,서울특별시 마포구 합정동 423,보도와 차도가 구분된 도로의 차도,2022-03-22,37.5488512975175,126.916416852264
48,37443,2022-03-22,마포구,서울특별시 마포구 합정동 423,"점자블록, 엘리베이터 입구",2022-03-22,37.5488512975175,126.916416852264
49,37446,2022-03-22,마포구,서울특별시 마포구 공덕동 396-45,보도 중앙,2022-03-22,37.5452905284235,126.951276768195
50,37453,2022-03-22,마포구,서울특별시 마포구 하중동 24-1,"버스정류장, 택시 승강장",2022-03-22,37.5456369109494,126.92792424742
51,37458,2022-03-22,마포구,서울특별시 마포구 공덕동 396-45,보도 중앙,2022-03-22,37.5452905284235,126.951276768195
52,37473,2022-03-22,마포구,서울특별시 마포구 창전동 116,"버스정류장, 택시 승강장",2022-03-22,37.5484878433504,126.931700574573
53,37475,2022-03-22,마포구,서울특별시 마포구 동교동 151-3,"점자블록, 엘리베이터 입구",2022-03-22,37.5582056093962,126.923141144997
54,37478,2022-03-22,마포구,서울특별시 마포구 아현동 267-3,보도 중앙,2022-03-22,37.5555194299842,126.955986839437
55,37489,2022-03-22,마포구,서울특별시 마포구 동교동 192-44,보도와 차도가 구분된 도로의 차도,2022-03-22,37.5579577201773,126.924358166933
56,37496,2022-03-22,마포구,서울특별시 마포구 동교동 192-44,보도와 차도가 구분된 도로의 차도,2022-03-22,37.5579577201773,126.924358166933
57,37497,2022-03-22,마포구,서울특별시 마포구 아현동 267-2,보도 중앙,2022-03-22,37.5555915511424,126.95658525885
58,37499,2022-03-22,마포구,서울특별시 마포구 아현동 354-23,보도 중앙,2022-03-22,37.5559372848199,126.955671630184
59,37506,2022-03-22,마포구,서울특별시 마포구 동교동 192-44,보도와 차도가 구분된 도로의 차도,2022-03-22,37.5579577201773,126.924358166933
60,37507,2022-03-22,마포구,서울특별시 마포구 아현동 267-1,보도 중앙,2022-03-22,37.5563553625896,126.95692920641
61,37510,2022-03-22,마포구,서울특별시 마포구 동교동 192-44,보도와 차도가 구분된 도로의 차도,2022-03-22,37.5579577201773,126.924358166933
62,37512,2022-03-22,마포구,서울특별시 마포구 동교동 192-44,보도와 차도가 구분된 도로의 차도,2022-03-22,37.5579577201773,126.924358166933
63,37519,2022-03-22,마포구,서울특별시 마포구 서교동 465-2,보도와 차도가 구분된 도로의 차도,2022-03-22,37.5548141191008,126.916441089099
64,37527,2022-03-22,마포구,서울특별시 마포구 신수동 99-6,보도 중앙,2022-03-22,37.5501784643652,126.933095266286
65,37529,2022-03-22,마포구,서울특별시 마포구 신수동 99-6,보도 중앙,2022-03-22,37.5501784643652,126.933095266286
66,37537,2022-03-22,마포구,서울특별시 마포구 망원동 431-63,보도와 차도가 구분된 도로의 차도,2022-03-22,37.5588356741309,126.900142297572
67,37544,2022-03-22,마포구,서울특별시 마포구 망원동 454-36,"점자블록, 엘리베이터 입구",2022-03-22,37.5558002679001,126.898723186969
68,37546,2022-03-22,마포구,서울특별시 마포구 합정동 414-3,지하철역 진출입로 및 주변,2022-03-22,37.5490305149203,126.914292457754
69,37547,2022-03-22,마포구,서울특별시 마포구 용강동 494-66,보도 중앙,2022-03-22,37.5430810736247,126.93813981975
70,37557,2022-03-22,마포구,서울특별시 마포구 용강동 494-2,보도 중앙,2022-03-22,37.5423039590436,126.937280948057
71,37560,2022-03-22,마포구,서울특별시 마포구 합정동 354-37,"횡단보도, 산책로 등",2022-03-22,37.5477658591577,126.919389577715
72,37561,2022-03-22,마포구,서울특별시 마포구 용강동 494-117,보도 중앙,2022-03-22,37.5422464741676,126.937789846981
73,37566,2022-03-22,마포구,서울특별시 마포구 용강동 494-64,보도 중앙,2022-03-22,37.5423206613093,126.937856093288
74,37571,2022-03-22,마포구,서울특별시 마포구 용강동 121-6,보도 중앙,2022-03-22,37.5411059783772,126.940033799973
75,37578,2022-03-22,마포구,서울특별시 마포구 도화동 169-3,보도 중앙,2022-03-22,37.5410703067096,126.95120302407
76,37579,2022-03-22,마포구,서울특별시 마포구 구수동 102-11,"횡단보도, 산책로 등",2022-03-22,37.5451455902646,126.931703963369
